#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"power (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Abs (Y) [Magnitude / dB]"
#-------------------------------------------------------------------------------------
3.5276165090673	24.823897892648
3.5618652130388	24.859500010851
3.5961139170103	24.889527544796
3.6303626209818	24.920468860630
3.6646113249534	24.949067202017
3.6988600289249	24.975507211833
3.7331087328964	25.002964995401
3.7673574368679	25.025195564199
3.8016061408395	25.048456730874
3.8358548448110	25.069804587320
3.8701035487825	25.088946151456
3.9043522527540	25.109176232999
3.9386009567256	25.124446109813
3.9728496606971	25.140510454247
4.0070983646686	25.154774872438
4.0413470686402	25.166461845921
4.0755957726117	25.179102762609
4.1098444765832	25.186558405074
4.1440931805547	25.194371355825
4.1783418845263	25.200207294199
4.2125905884978	25.202768387656
4.2468392924693	25.205998909246
4.2810879964408	25.203545085321
4.3153367004124	25.200864352648
4.3495854043839	25.195915473143
4.3838341083554	25.186847794408
4.4180828123269	25.178104031853
4.4523315162985	25.163239053156
4.4865802202700	25.147540785328
4.5208289242415	25.129407440241
4.5550776282131	25.106510223276
4.5893263321846	25.083630536112
4.6235750361561	25.054698371163
4.6578237401276	25.024476544821
4.6920724440992	24.991979514408
4.7263211480707	24.954678504736
4.7605698520422	24.917219758167
4.7948185560137	24.874616558913
4.8290672599853	24.830619144355
4.8633159639568	24.784930112082
4.8975646679283	24.735328174409
4.9318133718998	24.685600349806
4.9660620758714	24.632601168812
5.0003107798429	24.578636508739
5.0345594838144	24.523964731190
5.0688081877860	24.467353581862
5.1030568917575	24.410888685667
5.1373055957290	24.353747004658
5.1715542997005	24.296633737144
5.2058030036721	24.239985601075
5.2400517076436	24.184174225889
5.2743004116151	24.128946347577
5.3085491155866	24.075752353605
5.3427978195582	24.023988684118
5.3770465235297	23.973517372907
5.4112952275012	23.926992884018
5.4455439314727	23.881440626447
5.4797926354443	23.839700907190
5.5140413394158	23.800963261489
5.5482900433873	23.763556189076
5.5825387473589	23.732654604195
5.6167874513304	23.702809556855
5.6510361553019	23.677156064071
5.6852848592734	23.655607727601
5.7195335632450	23.635021026653
5.7537822672165	23.621542497115
5.7880309711880	23.609136361630
5.8222796751595	23.600147902163
5.8565283791311	23.595586498701
5.8907770831026	23.591574649551
5.9250257870741	23.593457170343
5.9592744910456	23.596518320438
5.9935231950172	23.601785981792
6.0277718989887	23.611276778408
6.0620206029602	23.620897213608
6.0962693069318	23.634919678391
6.1305180109033	23.650208623306
6.1647667148748	23.666703500687
6.1990154188463	23.687228525699
6.2332641228179	23.707706362112
6.2675128267894	23.731587386710
6.3017615307609	23.757041299573
6.3360102347324	23.783153387520
6.3702589387040	23.813513940597
6.4045076426755	23.843947554526
6.4387563466470	23.877325822395
6.4730050506185	23.912852388745
6.5072537545901	23.948810659848
6.5415024585616	23.989564356018
6.5757511625331	24.030667923736
6.6099998665047	24.074439501463
6.6442485704762	24.120958086231
6.6784972744477	24.167943522129
6.7127459784192	24.219550080979
6.7469946823908	24.271895572843
6.7812433863623	24.326336504810
6.8154920903338	24.383568404760
6.8497407943053	24.441371513037
6.8839894982769	24.502267177082
6.9182382022484	24.564102247578
6.9524869062199	24.627020766099
6.9867356101914	24.691609059054
7.0209843141630	24.756648728598
7.0552330181345	24.822285030981
7.0894817221060	24.888329954966
7.1237304260776	24.954337623892
7.1579791300491	25.019412745478
7.1922278340206	25.084711960134
7.2264765379921	25.147755680161
7.2607252419637	25.209820940692
7.2949739459352	25.271187806535
7.3292226499067	25.327777255658
7.3634713538782	25.384409468138
7.3977200578498	25.436429847161
7.4319687618213	25.485334125845
7.4662174657928	25.533720076691
7.5004661697644	25.572859582044
7.5347148737359	25.611983572265
7.5689635777074	25.645248588428
7.6032122816789	25.672837635017
7.6374609856505	25.700417716068
7.6717096896220	25.715513055628
7.7059583935935	25.730126311415
7.7402070975650	25.738882825940
7.7744558015366	25.739473754627
7.8087045055081	25.740066430547
7.8429532094796	25.727935235167
7.8772019134511	25.713884529934
7.9114506174227	25.695070206051
7.9456993213942	25.666222251959
7.9799480253657	25.637309704358
8.0141967293373	25.597217503118
8.0484454333088	25.553753983958
8.0826941372803	25.507106818920
8.1169428412518	25.449882076301
8.1511915452234	25.392411500485
8.1854402491949	25.326507869893
8.2196889531664	25.256390052881
8.2539376571379	25.184574323229
8.2881863611095	25.103482509603
8.3224350650810	25.021908090995
8.3566837690525	24.935194119133
8.3909324730240	24.844588997498
8.4251811769956	24.753202037969
8.4594298809671	24.655966640287
8.4936785849386	24.558063368281
8.5279272889101	24.458205260736
8.5621759928817	24.356294695068
8.5964246968532	24.253682997529
8.6306734008247	24.150615102844
8.6649221047963	24.046868681431
8.6991708087678	23.943691780673
8.7334195127393	23.841805600273
8.7676682167108	23.739287005664
8.8019169206824	23.641303500973
8.8361656246539	23.543718620871
8.8704143286254	23.448219579315
8.9046630325969	23.358442308323
8.9389117365685	23.268249711883
8.9731604405400	23.186124705023
9.0074091445115	23.106521595465
9.0416578484831	23.029362408003
9.0759065524546	22.962741532292
9.1101552564261	22.895954089345
9.1444039603976	22.839041052211
9.1786526643692	22.787336623682
9.2129013683407	22.737352946049
9.2471500723122	22.702306162841
9.2813987762837	22.667249627730
9.3156474802553	22.642153896798
9.3498961842268	22.624928855679
9.3841448881983	22.607932246472
9.4183935921698	22.609202508811
9.4526422961414	22.610479253065
9.4868910001129	22.620424363077
9.5211397040844	22.640357559323
9.5553884080560	22.660249963475
9.5896371120275	22.696943693851
9.6238858159990	22.735061199096
9.6581345199705	22.779563168850
9.6923832239421	22.835020316035
9.7266319279136	22.890240220882
9.7608806318851	22.958682840786
9.7951293358566	23.029698702266
9.8293780398282	23.104341048466
9.8636267437997	23.189179976968
9.8978754477712	23.273476449195
9.9321241517427	23.366266370869
9.9663728557143	23.461795958015
10.000621559686	23.558380242529
10.034870263657	23.662304022449
10.069118967629	23.765382785068
10.103367671600	23.871961728875
10.137616375572	23.980162825524
10.171865079543	24.087733408039
10.206113783515	24.197762840375
10.240362487486	24.306810273323
10.274611191458	24.415143414899
10.308859895430	24.522715455761
10.343108599401	24.629224819426
10.377357303373	24.732208966848
10.411606007344	24.834317987994
10.445854711316	24.932589060940
10.480103415287	25.027318460678
10.514352119259	25.121315155801
10.548600823230	25.206125251604
10.582849527202	25.290333827170
10.617098231173	25.368786189878
10.651346935145	25.441057059698
10.685595639116	25.512943144404
10.719844343088	25.572146378775
10.754093047059	25.630525712249
10.788341751031	25.682438024051
10.822590455002	25.725999811381
10.856839158974	25.769493268937
10.891087862945	25.798815649685
10.925336566917	25.826771350645
10.959585270889	25.848534576532
10.993833974860	25.860557082890
11.028082678832	25.872666358571
11.062331382803	25.870962542343
11.096580086775	25.867200962651
11.130828790746	25.858146859784
11.165077494718	25.838934527140
11.199326198689	25.819742653153
11.233574902661	25.788480250571
11.267823606632	25.754548944925
11.302072310604	25.716503541260
11.336321014575	25.668964555039
11.370569718547	25.621195168473
11.404818422518	25.564015829601
11.439067126490	25.503874868267
11.473315830461	25.440785747947
11.507564534433	25.369902412301
11.541813238405	25.298441443889
11.576061942376	25.220652081897
11.610310646348	25.140096172711
11.644559350319	25.057590252733
11.678808054291	24.969899299590
11.713056758262	24.881318833848
11.747305462234	24.789554862610
11.781554166205	24.695815939434
11.815802870177	24.600904018363
11.850051574148	24.504157357701
11.884300278120	24.406375645558
11.918548982091	24.308372461920
11.952797686063	24.209800595488
11.987046390034	24.110661663955
12.021295094006	24.013586706675
12.055543797977	23.915608204492
12.089792501949	23.820113327111
12.124041205920	23.726047827648
12.158289909892	23.631906145494
12.192538613864	23.544031032681
12.226787317835	23.455676864760
12.261036021807	23.372149958260
12.295284725778	23.292454072416
12.329533429750	23.213049405082
12.363782133721	23.144043370581
12.398030837693	23.075153655627
12.432279541664	23.012812758110
12.466528245636	22.956676168933
12.500776949607	22.900941684618
12.535025653579	22.859098637335
12.569274357550	22.817851836751
12.603523061522	22.783434674494
12.637771765493	22.757710552762
12.672020469465	22.732690031935
12.706269173436	22.721081252111
12.740517877408	22.711997530811
12.774766581379	22.708071100498
12.809015285351	22.714699503122
12.843263989323	22.721881202141
12.877512693294	22.739950603059
12.911761397266	22.761898117379
12.946010101237	22.786567014975
12.980258805209	22.822036113717
13.014507509180	22.857601216046
13.048756213152	22.900484118166
13.083004917123	22.947694124011
13.117253621095	22.995333763771
13.151502325066	23.052290041042
13.185751029038	23.108902141253
13.219999733009	23.169274018115
13.254248436981	23.233415429005
13.288497140952	23.297084399060
13.322745844924	23.366186308151
13.356994548895	23.435204384389
13.391243252867	23.505276186837
13.425491956838	23.577557908822
13.459740660810	23.649333966474
13.493989364782	23.722406671941
13.528238068753	23.795493638902
13.562486772725	23.868205638634
13.596735476696	23.940728867408
13.630984180668	24.012967550535
13.665232884639	24.083762073993
13.699481588611	24.153860879437
13.733730292582	24.223430943881
13.767978996554	24.289866254746
13.802227700525	24.356357483558
13.836476404497	24.420147076437
13.870725108468	24.481887485503
13.904973812440	24.543846486213
13.939222516411	24.599876668258
13.973471220383	24.656213174047
14.007719924354	24.709844292316
14.041968628326	24.759778954731
14.076217332297	24.810224008431
14.110466036269	24.854362319450
14.144714740241	24.898007391604
14.178963444212	24.939774281951
14.213212148184	24.976317212417
14.247460852155	25.013538127788
14.281709556127	25.045189145035
14.315958260098	25.075278483700
14.350206964070	25.104628329757
14.384455668041	25.127666895949
14.418704372013	25.151394065141
14.452953075984	25.170816329368
14.487201779956	25.187655559592
14.521450483927	25.204788915233
14.555699187899	25.215018212798
14.589947891870	25.225801578383
14.624196595842	25.233565036592
14.658445299813	25.237937971260
14.692694003785	25.242758397607
14.726942707756	25.241732074387
14.761191411728	25.240468833388
14.795440115700	25.236763424412
14.829688819671	25.229808670948
14.863937523643	25.223066934273
14.898186227614	25.210807513148
14.932434931586	25.198464984280
14.966683635557	25.183498605846
15.000932339529	25.165772547266
15.035181043500	25.147954000761
15.069429747472	25.125015270919
15.103678451443	25.102020630252
15.137927155415	25.076268676124
15.172175859386	25.048184575523
15.206424563358	25.019676724123
15.240673267329	24.986697411573
15.274921971301	24.953639772533
15.309170675272	24.917802805000
15.343419379244	24.880101914116
15.377668083215	24.841836310618
15.411916787187	24.799776105974
15.446165491159	24.757773002611
15.480414195130	24.713136642986
15.514662899102	24.667195429296
15.548911603073	24.620734525567
15.583160307045	24.571221439464
15.617409011016	24.522027641876
15.651657714988	24.470518435764
15.685906418959	24.418324235221
15.720155122931	24.365807038012
15.754403826902	24.311067843256
15.788652530874	24.256967289596
15.822901234845	24.201016294909
15.857149938817	24.144986652609
15.891398642788	24.088908200527
15.925647346760	24.031451363014
15.959896050731	23.974898473799
15.994144754703	23.917038010064
16.028393458675	23.859581982156
16.062642162646	23.802322145654
16.096890866618	23.744411087975
16.131139570589	23.687502902110
16.165388274561	23.629871913209
16.199636978532	23.572895766632
16.233885682504	23.516304705394
16.268134386475	23.459615231000
16.302383090447	23.403806714783
16.336631794418	23.347855933699
16.370880498390	23.292521133415
16.405129202361	23.237689589368
16.439377906333	23.183122559205
16.473626610304	23.129107254050
16.507875314276	23.075606329650
16.542124018247	23.022439084928
16.576372722219	22.969927993547
16.610621426190	22.917927770494
16.644870130162	22.866069557982
16.679118834134	22.815610465276
16.713367538105	22.765098742980
16.747616242077	22.715613878185
16.781864946048	22.666914598382
16.816113650020	22.618247211311
16.850362353991	22.571909161059
16.884611057963	22.525332400031
16.918859761934	22.480689794543
16.953108465906	22.437152351073
16.987357169877	22.394107826790
17.021605873849	22.354441500991
17.055854577820	22.314697576784
17.090103281792	22.278418981838
17.124351985763	22.243690218967
17.158600689735	22.210531225726
17.192849393706	22.181855850286
17.227098097678	22.153624677189
17.261346801649	22.130802646409
17.295595505621	22.109975352460
17.329844209593	22.092181575502
17.364092913564	22.079696204212
17.398341617536	22.068346500702
17.432590321507	22.064228750098
17.466839025479	22.062307641296
17.501087729450	22.064777700615
17.535336433422	22.072738880897
17.569585137393	22.082360123061
17.603833841365	22.100182375403
17.638082545336	22.119937667855
17.672331249308	22.144748156822
17.706579953279	22.174372890196
17.740828657251	22.206101128239
17.775077361222	22.245045976212
17.809326065194	22.285580610812
17.843574769165	22.330908633882
17.877823473137	22.379719921901
17.912072177108	22.430563149098
17.946320881080	22.486609414731
17.980569585052	22.543657834543
18.014818289023	22.604547086702
18.049066992995	22.667402537061
18.083315696966	22.731769147384
18.117564400938	22.799370275388
18.151813104909	22.867262540283
18.186061808881	22.937891243629
18.220310512852	23.009215175883
18.254559216824	23.081439390374
18.288807920795	23.155378830141
18.323056624767	23.229028871398
18.357305328738	23.304581720809
18.391554032710	23.379985038653
18.425802736681	23.455896107774
18.460051440653	23.532616812851
18.494300144624	23.608730173040
18.528548848596	23.686363711707
18.562797552567	23.763405597591
18.597046256539	23.840820317659
18.631294960511	23.918573454217
18.665543664482	23.995646088289
18.699792368454	24.073860580349
18.734041072425	24.151473742080
18.768289776397	24.229154655692
18.802538480368	24.307134159664
18.836787184340	24.384539513061
18.871035888311	24.462478727134
18.905284592283	24.540034508448
18.939533296254	24.617344298348
18.973782000226	24.694627754553
19.008030704197	24.771531070809
19.042279408169	24.847975191668
19.076528112140	24.924115676921
19.110776816112	24.999651974799
19.145025520083	25.074286468431
19.179274224055	25.148731915862
19.213522928026	25.221413692216
19.247771631998	25.293555464177
19.282020335970	25.364778211557
19.316269039941	25.433621178590
19.350517743913	25.502417955896
19.384766447884	25.568067611310
19.419015151856	25.632558662887
19.453263855827	25.695986301036
19.487512559799	25.755081213742
19.521761263770	25.814222489781
19.556009967742	25.869079723782
19.590258671713	25.921830959051
19.624507375685	25.973649353664
19.658756079656	26.019068171828
19.693004783628	26.064581509187
19.727253487599	26.105177884742
19.761502191571	26.142577345122
19.795750895542	26.179435733791
19.829999599514	26.208082585958
19.864248303485	26.236830831421
19.898497007457	26.260590201207
19.932745711429	26.280127751422
19.966994415400	26.299656766321
20.001243119372	26.309745982483
20.035491823343	26.319903459982
20.069740527315	26.325521827109
20.103989231286	26.326182675864
20.138237935258	26.326882293339
20.172486639229	26.318701485919
20.206735343201	26.310041047478
20.240984047172	26.297687668572
20.275232751144	26.280156327685
20.309481455115	26.262590810496
20.343730159087	26.237053005529
20.377978863058	26.211196513291
20.412227567030	26.181346925327
20.446476271001	26.147802543929
20.480724974973	26.113654367316
20.514973678945	26.073130622292
20.549222382916	26.032469709056
20.583471086888	25.987955114578
20.617719790859	25.941058288793
20.651968494831	25.893095092615
20.686217198802	25.840770685248
20.720465902774	25.788261878566
20.754714606745	25.732458197704
20.788963310717	25.675304929035
20.823212014688	25.616989311390
20.857460718660	25.555996020953
20.891709422631	25.494795393308
20.925958126603	25.431166197936
20.960206830574	25.366877534855
20.994455534546	25.301624557712
21.028704238517	25.234947502931
21.062952942489	25.168047848444
21.097201646460	25.099699628629
21.131450350432	25.031032811246
21.165699054404	24.961785635964
21.199947758375	24.891921059228
21.234196462347	24.821788763809
21.268445166318	24.751235220930
21.302693870290	24.680391177309
21.336942574261	24.609478223628
21.371191278233	24.538396271812
21.405439982204	24.467109075749
21.439688686176	24.396198047632
21.473937390147	24.324922695230
21.508186094119	24.254178796037
21.542434798090	24.183423855317
21.576683502062	24.112698298082
21.610932206033	24.042861705208
21.645180910005	23.972577741311
21.679429613976	23.903572362210
21.713678317948	23.834526874437
21.747927021919	23.765821293438
21.782175725891	23.698337035919
21.816424429863	23.630361003332
21.850673133834	23.564282777523
21.884921837806	23.498153772821
21.919170541777	23.432637181513
21.953419245749	23.368541099095
21.987667949720	23.303970104888
22.021916653692	23.241649193804
22.056165357663	23.179222779530
22.090414061635	23.117563870584
22.124662765606	23.057222003754
22.158911469578	22.996472241193
22.193160173549	22.937795222356
22.227408877521	22.878932131482
22.261657581492	22.820684133849
22.295906285464	22.763272713160
22.330154989435	22.705541359699
22.364403693407	22.648895369257
22.398652397378	22.591995974575
22.432901101350	22.535068562983
22.467149805322	22.478127413946
22.501398509293	22.420917052510
22.535647213265	22.362866511668
22.569895917236	22.304563412468
22.604144621208	22.245025876358
22.638393325179	22.184401136460
22.672642029151	22.123300569800
22.706890733122	22.059020945254
22.741139437094	21.994422813813
22.775388141065	21.926909777778
22.809636845037	21.857203822989
22.843885549008	21.786469907727
22.878134252980	21.710259246194
22.912382956951	21.633530934147
22.946631660923	21.552035849047
22.980880364894	21.467320635399
23.015129068866	21.380896377319
23.049377772837	21.287020111527
23.083626476809	21.192243242553
23.117875180781	21.091149668875
23.152123884752	20.985955874523
23.186372588724	20.878242554042
23.220621292695	20.761848100322
23.254869996667	20.643954451387
23.289118700638	20.518740496486
23.323367404610	20.388792795053
23.357616108581	20.255496133192
23.391864812553	20.113276972174
23.426113516524	19.968730589222
23.460362220496	19.816652923320
23.494610924467	19.659493719408
23.528859628439	19.498255405452
23.563108332410	19.328922105965
23.597357036382	19.156233578667
23.631605740353	18.976800567159
23.665854444325	18.792210818766
23.700103148296	18.603058271225
23.734351852268	18.407697119631
23.768600556240	18.207840699855
23.802849260211	18.003188777103
23.837097964183	17.793565818957
23.871346668154	17.579406776226
23.905595372126	17.361806722764
23.939844076097	17.138622942481
23.974092780069	16.913932331983
24.008341484040	16.684523821889
24.042590188012	16.451589711763
24.076838891983	16.218357023878
24.111087595955	15.978721546913
24.145336299926	15.742428267235
24.179585003898	15.501542238909
24.213833707869	15.259418059401
24.248082411841	15.020233453108
24.282331115812	14.774349767738
24.316579819784	14.538099802672
24.350828523755	14.297295938404
24.385077227727	14.058809169402
24.419325931699	13.826343693515
24.453574635670	13.587566075632
24.487823339642	13.365276842484
24.522072043613	13.138395033767
24.556320747585	12.920197073122
24.590569451556	12.708184822751
24.624818155528	12.495689536422
24.659066859499	12.301691029580
24.693315563471	12.103281247762
24.727564267442	11.923865344875
24.761812971414	11.747449475730
24.796061675385	11.579624773768
24.830310379357	11.428042903017
24.864559083328	11.273769511789
24.898807787300	11.146998067997
24.933056491271	11.018391604820
24.967305195243	10.958213213990
25.001553899214	10.897713975397
